ID			Imag	Vmag	Period		Iamp	[Fe/H]		R21	R31	Phi21	Phi31	
OGLE-BLG-RRLYR-00162   15.92100   17.21600    0.54632    0.63900   -1.07004    0.51646    0.31785    4.33000    5.76459
OGLE-BLG-RRLYR-00172   15.78000   16.95300    0.47744    0.69900   -1.01831    0.47511    0.33258    4.13600    5.41759
OGLE-BLG-RRLYR-00175   16.22700   17.39700    0.47668    0.75800   -1.09534    0.48805    0.36273    4.09700    5.31959
OGLE-BLG-RRLYR-00181   18.28300   19.50600    0.51099    0.53400   -1.54864    0.38575    0.20537    4.13300    4.97359
OGLE-BLG-RRLYR-00183   16.09100   17.39200    0.51215    0.71800   -1.08135    0.50071    0.37085    4.20400    5.54759
OGLE-BLG-RRLYR-00184   15.74900   17.14600    0.53332    0.75600   -1.29636    0.47335    0.35380    4.18400    5.41259
OGLE-BLG-RRLYR-00194   15.47700   16.66000    0.66272    0.27700   -0.94434    0.36308    0.18876    4.74700    6.60959
OGLE-BLG-RRLYR-00195   15.32200   16.53000    0.80338    0.32800   -1.21694    0.38322    0.16643    5.03300    7.11559
OGLE-BLG-RRLYR-00197   16.04000   17.47300    0.58716    0.41000   -1.13182    0.42250    0.21829    4.45900    5.93259
OGLE-BLG-RRLYR-00199   15.59100   16.79600    0.78049    0.55300   -1.82985    0.39008    0.17982    4.95500    6.23559
OGLE-BLG-RRLYR-00201   15.54300   16.63700    0.68226    0.61100   -1.36728    0.44153    0.20254    4.78400    6.21259
OGLE-BLG-RRLYR-00204   15.08000   16.34500    0.81119    0.40400   -1.43318    0.42427    0.21303    4.93400    6.89959
OGLE-BLG-RRLYR-00205   16.09000   17.43900    0.46267    0.44200   -0.48528    0.39704    0.19628    4.39100    5.97659
OGLE-BLG-RRLYR-00207   15.78200   16.85400    0.51423    0.69800   -1.00915    0.51819    0.36215    4.25300    5.64759
OGLE-BLG-RRLYR-00208   15.68100   16.80900    0.46425    0.83700   -1.02454    0.48918    0.37552    4.11300    5.33159
OGLE-BLG-RRLYR-00210   16.18500   17.50100    0.57062    0.39700   -0.94358    0.44976    0.23026    4.55500    6.06259
OGLE-BLG-RRLYR-00211   15.97300   17.02600    0.50892    0.56800   -0.86942    0.46003    0.32032    4.29300    5.78559
OGLE-BLG-RRLYR-00213   16.72100   18.06400    0.44509    0.72800   -0.50787    0.56552    0.37552    4.34500    5.84459
OGLE-BLG-RRLYR-00215   17.53600   18.80200    0.50127    0.75800   -1.14501    0.49983    0.38246    4.13700    5.40559
OGLE-BLG-RRLYR-00217   17.31000   18.49700    0.52855    0.67000   -0.66814    0.53792    0.33718    4.59500    6.14659
OGLE-BLG-RRLYR-00225   14.90600   15.94500    0.81230    0.37300   -1.91900    0.26242    0.08700    4.46600    6.31659
OGLE-BLG-RRLYR-00233   16.27900   17.56800    0.45407    0.75600   -0.96555    0.48341    0.33851    4.14600    5.34259
OGLE-BLG-RRLYR-00234   16.25900   17.54500    0.56378    0.32900   -0.38929    0.41271    0.21500    4.81600    6.69459
OGLE-BLG-RRLYR-00235   15.69200   16.99500    0.61290    0.76700   -1.45328    0.54617    0.33320    4.39000    5.69559
OGLE-BLG-RRLYR-00236   16.42400   17.57800    0.59701    0.75900   -1.44131    0.51921    0.34102    4.25500    5.61559
OGLE-BLG-RRLYR-00240   15.62500   16.98300    0.74775    0.29200   -1.03652    0.37839    0.16307    4.97300    7.00359
OGLE-BLG-RRLYR-00242   15.98100   17.24800    0.57577    0.44400   -0.84772    0.48385    0.30436    4.55300    6.20959
